UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
DECID,40,MISS,SUGAR MAPLE,-79.6555690447575,43.5357630957327
DECID,14,MISS,NORWAY SCHWENDLER MAPLE,-79.6339172891331,43.5357652723852
DECID,27,MISS,SILVER MAPLE,-79.6791909304879,43.5357658201066
DECID,36,MISS,RED MAPLE,-79.636936024479,43.535766821261
MULTI,30,MISS,SUGAR MAPLE,-79.6559423486415,43.5357674854466
DECID,31,MISS,NORWAY MAPLE,-79.6441749492419,43.5357710506622
DECID,15,MISS,ASH SPP.,-79.6410082980338,43.535771636768
DECID,11,MISS,FLOWERING CRAB APPLE,-79.6367453161901,43.5357716603844
CONFIR,22,MISS,AUSTRIAN PINE,-79.66420782938,43.5357718052623
DECID,13,MISS,WEEPING MULBERRY,-79.6627275745246,43.5357725069396
DECID,19,MISS,NORWAY MAPLE,-79.6612795028359,43.5357730260886
DECID,27,MISS,NORWAY MAPLE,-79.6740484077283,43.5357738185099
DECID,35,MISS,NORWAY MAPLE,-79.6740439324388,43.5357743068056
CONFIR,32,MISS,WHITE SPRUCE,-79.6248191845998,43.5357745000155
DECID,28,MISS,RED MAPLE,-79.6389681046247,43.535779147848
DECID,30,MISS,LINDEN,-79.6302286942875,43.535779386389
MULTI,34,MISS,NORWAY MAPLE,-79.6358949715869,43.5357804251076
DECID,9,MISS,BLACK WALNUT,-79.620778821427,43.5357812890497
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.6339511809059,43.5357826051183
MULTI,5,MISS,COMMON LILAC,-79.6744032585525,43.5357840752348
DECID,12,MISS,WEEPING MULBERRY,-79.6627405136208,43.5357862545144
DECID,9,MISS,WEEPING MULBERRY,-79.6484951541484,43.5357878221018
CONFIR,16,MISS,SCOTCH PINE,-79.6641955057461,43.5357918304754
DECID,7,MISS,JUNIPER,-79.6474748619274,43.5357918723719
DECID,9,MISS,NORWAY SCHWENDLER MAPLE,-79.6792461728228,43.5357922101402
DECID,18,MISS,COLUMNAR NORWAY MAPLE,-79.6348632329263,43.5357926000004
DECID,21,MISS,NORWAY SCHWENDLER MAPLE,-79.6785487411075,43.5357927041267
DECID,21,MISS,NORWAY MAPLE,-79.6789710182124,43.5357932627377
DECID,10,MISS,GLOBE MAPLE,-79.6640099470659,43.5357933537152
DECID,51,MISS,SUGAR MAPLE,-79.6559318680514,43.5357935641903
MULTI,5,MISS,COMMON LILAC,-79.6743852922468,43.5357938436625
MULTI,7,PEEL,FLOWERING CRAB APPLE,-79.6642609331863,43.5357938555678
DECID,7,MISS,BLACK WALNUT,-79.6207370655509,43.5357942013683
DECID,70,MISS,NORWAY MAPLE,-79.6295478091667,43.5357950001178
DECID,21,MISS,RED MAPLE,-79.6400655427156,43.5357953601135
DECID,20,MISS,ORNAMENTAL PEAR,-79.6629281705644,43.5357961931034
MULTI,43,MISS,WHITE BIRCH,-79.6208106489968,43.5357967099079
CONFIR,17,MISS,COLORADO GREEN SPRUCE,-79.664229034191,43.5357979848916
DECID,8,MISS,NORWAY SCHWENDLER MAPLE,-79.6339874439377,43.5357990657659
MULTI,5,MISS,COMMON LILAC,-79.6744122417053,43.5358003559467
MULTI,7,MISS,PIN CHERRY,-79.6470412145083,43.5358016876503
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.6340265858261,43.5358031351321
MULTI,5,MISS,COMMON LILAC,-79.6743583427883,43.5358036120885
DECID,9,MISS,WEEPING MULBERRY,-79.6485089973988,43.5358052736589
DECID,38,MISS,NORWAY MAPLE,-79.6258854381327,43.5358066807074
DECID,147,MISS,SILVER MAPLE,-79.6204123829489,43.535807031073
DECID,15,MISS,ASH SPP.,-79.6409687721613,43.5358083009324
DECID,38,MISS,RED OAK,-79.6300389700994,43.5358093428977
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6607237202982,43.5358099159357
MULTI,5,MISS,COMMON LILAC,-79.674430208011,43.5358101243716
MULTI,5,MISS,COMMON LILAC,-79.6743942753996,43.5358101243716
DECID,19,MISS,FLOWERING CRAB APPLE,-79.630421742242,43.5358101243716
DECID,35,MISS,RED MAPLE,-79.6234282221782,43.5358107927143
DECID,13,MISS,NORWAY MAPLE,-79.665931967116,43.535813098693
DECID,9,MISS,NORWAY SCHWENDLER MAPLE,-79.6340483907171,43.5358131201195
DECID,42,MISS,PIN OAK,-79.6208356323494,43.5358137589643
CONFIR,13,MISS,BALSAM FIR,-79.6474664278626,43.5358148231089
DECID,55,MISS,PIN OAK,-79.6231912231695,43.5358156820602
CONFIR,36,MISS,NORWAY SPRUCE,-79.6303049612551,43.5358166366541
MULTI,57,MISS,RED OAK,-79.6234644600947,43.5358173518778
MULTI,5,MISS,COMMON LILAC,-79.6744122417053,43.535819892795
MULTI,5,MISS,COMMON LILAC,-79.674376309094,43.535819892795
MULTI,5,MISS,COMMON LILAC,-79.6743493596354,43.535819892795
DECID,33,MISS,RED OAK,-79.6398014580509,43.5358214815102
DECID,37,MISS,WHITE BIRCH,-79.6358144597073,43.5358216936117
MULTI,5,MISS,COMMON LILAC,-79.674430208011,43.5358231489358
DECID,26,MISS,SUGAR MAPLE,-79.636690685293,43.5358233227487
CONFIR,17,MISS,SCOTCH PINE,-79.6642086643893,43.5358236787203
DECID,5,MISS,SUGAR MAPLE,-79.6250481364449,43.535824165433
DECID,30,MISS,RED MAPLE,-79.6387186329856,43.5358268705046
DECID,21,MISS,NORWAY MAPLE,-79.6612170117175,43.5358284799259
MULTI,5,MISS,COMMON LILAC,-79.674376309094,43.5358296612169
DECID,5,MISS,HONEY LOCUST,-79.6588651577949,43.5358308961576
DECID,12,MISS,WEEPING MULBERRY,-79.6626583175245,43.535831754188
CONFIR,13,MISS,COLORADO BLUE SPRUCE,-79.6474107086209,43.5358325322331
MULTI,5,MISS,COMMON LILAC,-79.6744032585525,43.5358329173571
DECID,43,MISS,CHINESE ELM,-79.6341616781773,43.5358332022876
DECID,16,MISS,NORWAY MAPLE,-79.6614126949938,43.5358336527803
DECID,26,MISS,LINDEN,-79.6773831860608,43.5358346901584
CONFIR,44,MISS,WHITE SPRUCE,-79.6248906714995,43.5358365878953
CONFIR,20,MISS,AUSTRIAN PINE,-79.6642638110587,43.5358372890276
CONFIR,12,PEEL,SCOTCH PINE,-79.6643201021033,43.5358383069188
DECID,24,MISS,SILVER MAPLE,-79.6790583841059,43.5358392028455
MULTI,14,MISS,COLUMNAR NORWAY MAPLE,-79.6348045031989,43.5358393502938
DECID,8,MISS,CHINESE ELM,-79.634177974068,43.5358405102366
DECID,66,MISS,RED MAPLE,-79.6556918265756,43.5358408045075
DECID,30,MISS,RED OAK,-79.6299627031318,43.5358422950401
CONFIR,19,MISS,NORWAY SPRUCE,-79.6409230479134,43.5358426857768
DECID,10,MISS,CHINESE ELM,-79.634192097642,43.5358453611197
CONFIR,50,MISS,AUSTRIAN PINE,-79.6744391911639,43.5358459419164
CONFIR,48,MISS,WHITE FIR,-79.6251036777052,43.5358472536859
MULTI,4,MISS,PAPERBARK MAPLE,-79.6608597669785,43.535847796305
DECID,17,MISS,HONEY LOCUST,-79.629422713459,43.5358482453232
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6304397085477,43.5358491980558
DECID,43,MISS,CHINESE ELM,-79.6342036126748,43.5358506310404
DECID,12,MISS,SERVICEBERRY,-79.6446061405782,43.5358524541949
CONFIR,5,MISS,NORWAY SPRUCE,-79.6342171744866,43.5358529540581
CONFIR,15,MISS,SCOTCH PINE,-79.6642238027914,43.535855550097
DECID,6,MISS,JUNIPER,-79.6473595362505,43.5358572282971
DECID,7,MISS,WEEPING MULBERRY,-79.6663115426617,43.53585867653
CONFIR,42,MISS,NORWAY SPRUCE,-79.6303229275607,43.5358589664728
DECID,55,MISS,RED MAPLE,-79.6368402355535,43.5358599520798
DECID,31,MISS,RED MAPLE,-79.6388857017524,43.5358605543342
DECID,26,MISS,LINDEN,-79.623513967908,43.5358608075719
CONFIR,5,MISS,NORWAY SPRUCE,-79.6342286244996,43.5358611045142
CONFIR,30,MISS,SERBIAN SPRUCE,-79.6357392458953,43.5358640157394
CONFIR,5,MISS,NORWAY SPRUCE,-79.6342382106166,43.5358641003585
DECID,18,MISS,EASTERN WHITE CEDAR,-79.6232508120926,43.5358675430634
DECID,20,MISS,NORWAY MAPLE,-79.6669577707955,43.5358678348052
CONFIR,28,MISS,WHITE FIR,-79.6208895569013,43.5358696947459
CONFIR,6,MISS,COLORADO BLUE SPRUCE,-79.6342502022998,43.535870186339
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.664253179013,43.5358703899786
DECID,6,MISS,GINKGO BILBOA,-79.6783411652338,43.5358729622353
DECID,5,MISS,SUGAR MAPLE,-79.644249778905,43.5358743354458
DECID,8,MISS,CHINESE ELM,-79.6342622244645,43.5358749220661
DECID,35,MISS,RED OAK,-79.6300444498227,43.5358752471644
CONFIR,26,MISS,SCOTCH PINE,-79.6298917362244,43.5358752471644
CONFIR,43,MISS,SCOTCH PINE,-79.6298378373073,43.5358752471644
DECID,23,MISS,COLUMNAR NORWAY MAPLE,-79.6794488850173,43.5358780201716
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6447049552595,43.5358785033022
DECID,4,MISS,JUNIPER,-79.6342737760836,43.5358785716773
CONFIR,31,MISS,SCOTCH PINE,-79.62089848531,43.5358797970175
DECID,22,MISS,SILVER MAPLE,-79.6293021840203,43.535880205408
CONFIR,21,PEEL,SCOTCH PINE,-79.6642942816477,43.5358810448939
DECID,38,MISS,SILVER MAPLE,-79.6302690286437,43.5358817594398
DECID,4,MISS,JUNIPER,-79.6342846826265,43.5358833841147
CONFIR,18,MISS,NORWAY SPRUCE,-79.6408960984548,43.5358850155773
DECID,17,MISS,NORWAY MAPLE,-79.6611558377354,43.5358859300595
DECID,4,MISS,JUNIPER,-79.6342969624213,43.5358876727106
CONFIR,42,MISS,AUSTRIAN PINE,-79.6744391911639,43.5358882717145
DECID,6,MISS,SKYLINE LOCUST,-79.6682433591242,43.5358889416995
DECID,120,MISS,SILVER MAPLE,-79.6277860882227,43.5358894789978
DECID,6,MISS,KENTUCKY COFFEE TREE,-79.625759755412,43.5358898346604
DECID,6,MISS,ACCOLADE ELM,-79.6679571921733,43.5358898394837
DECID,16,MISS,COLUMNAR NORWAY MAPLE,-79.6794825310069,43.5358902042309
DECID,9,MISS,EASTERN WHITE CEDAR,-79.6486557251425,43.535891016616
CONFIR,13,MISS,SCOTCH PINE,-79.6642130753258,43.5358929719042
DECID,8,MISS,CHINESE ELM,-79.6343090554973,43.5358947503482
DECID,46,MISS,SILVER MAPLE,-79.630197163421,43.5358947839885
DECID,82,MISS,WHITE OAK,-79.6468745869191,43.5358975000815
DECID,13,MISS,FLOWERING CRAB APPLE,-79.6447408878709,43.5358980401253
CONFIR,29,MISS,SCOTCH PINE,-79.6298378373073,43.5358980401253
DECID,28,MISS,SILVER MAPLE,-79.6792055807043,43.5358997905613
CONFIR,14,MISS,SCOTCH PINE,-79.6408511826906,43.5359012962618
DECID,19,MISS,ORNAMENTAL PEAR,-79.6628072361812,43.53590327813
CONFIR,19,PEEL,SCOTCH PINE,-79.6643248560232,43.5359032821307
DECID,4,MISS,FLOWERING CRAB APPLE,-79.6740022499636,43.5359033926004
DECID,13,MISS,FLOWERING CRAB APPLE,-79.6739990166746,43.5359045523982
CONFIR,54,MISS,WHITE PINE,-79.6209347849789,43.5359053563917
DECID,21,MISS,NORWAY SCHWENDLER MAPLE,-79.659248531675,43.5359058954211
DECID,20,MISS,NORWAY MAPLE,-79.6669134495431,43.5359077464406
DECID,29,MISS,NORWAY MAPLE,-79.6299546182943,43.5359078085344
DECID,16,MISS,WHITE BIRCH,-79.6357259997514,43.5359080678311
DECID,17,MISS,FLOWERING CRAB APPLE,-79.6608653452547,43.5359089095438
DECID,19,MISS,NORWAY MAPLE,-79.6613284476635,43.535910281711
MULTI,5,MISS,FLOWERING CRAB APPLE,-79.6739825282469,43.5359109974195
MULTI,14,MISS,FLOWERING CRAB APPLE,-79.673981050369,43.5359110646705
CONFIR,34,MISS,AUSTRIAN PINE,-79.6297300394732,43.5359110646705
DECID,66,MISS,SIBERIAN ELM,-79.6558669303588,43.5359143561898
DECID,14,MISS,RED MAPLE,-79.6365916971067,43.5359156048336
MULTI,17,MISS,SILVER MAPLE,-79.6292248914603,43.5359157452349
DECID,52,MISS,TREMBLING POPLAR,-79.6472394873689,43.5359179361157
DECID,12,MISS,NORWAY MAPLE,-79.6209045361236,43.5359184075892
DECID,34,MISS,RED MAPLE,-79.6386066558874,43.535918999664
MULTI,21,MISS,WHITE BIRCH,-79.6209803838368,43.5359193225969
DECID,21,MISS,NORWAY MAPLE,-79.6659851837058,43.5359198782359
DECID,17,MISS,NORWAY MAPLE,-79.663955156184,43.535920571796
DECID,13,MISS,NORWAY MAPLE,-79.6739990166746,43.5359208330775
DECID,72,MISS,RED OAK,-79.6233843622049,43.5359216453435
CONFIR,15,MISS,SCOTCH PINE,-79.6642025406246,43.5359216619714
DECID,4,MISS,NORWAY MAPLE,-79.6740009774186,43.5359219263194
DECID,29,MISS,NORWAY MAPLE,-79.6299031448285,43.5359228518814
CONFIR,3,MISS,WHITE SPRUCE,-79.6445950014687,43.5359236333539
DECID,8,MISS,WEEPING MULBERRY,-79.6662792843005,43.5359240302157
DECID,5,MISS,SUGAR MAPLE,-79.6441948020097,43.5359253265442
DECID,22,MISS,LINDEN,-79.6472250768946,43.5359258692869
CONFIR,39,MISS,AUSTRIAN PINE,-79.6744481743167,43.535927345348
DECID,55,MISS,RED MAPLE,-79.6367613510315,43.5359278928202
CONFIR,34,MISS,NORWAY SPRUCE,-79.6278707318722,43.5359282222269
DECID,15,MISS,WHITE BIRCH,-79.635710687002,43.5359285044916
CONFIR,22,PEEL,SCOTCH PINE,-79.6643637608882,43.5359293984191
CONFIR,3,MISS,WHITE SPRUCE,-79.6445028343206,43.5359295595198
CONFIR,23,MISS,COLORADO BLUE SPRUCE,-79.6481945330838,43.5359315748402
CONFIR,200,MISS,SCOTCH PINE,-79.6641726019437,43.5359322971485
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.6472043580269,43.5359336377622
MULTI,12,MISS,FLOWERING CRAB APPLE,-79.6739720672161,43.5359338576178
DECID,6,MISS,ACCOLADE ELM,-79.6680291145374,43.5359341674002
MULTI,4,MISS,FLOWERING CRAB APPLE,-79.6739760563086,43.5359352334618
CONFIR,39,MISS,AUSTRIAN PINE,-79.6745290226923,43.5359371137524
MULTI,14,MISS,COLUMNAR NORWAY MAPLE,-79.6346892684523,43.5359384599067
DECID,5,MISS,NORWAY MAPLE,-79.6357415003614,43.5359396771605
CONFIR,17,MISS,AUSTRIAN PINE,-79.647256444707,43.5359400167714
CONFIR,17,MISS,COLORADO BLUE SPRUCE,-79.6259525522805,43.5359414685466
DECID,5,MISS,NORWAY MAPLE,-79.6784895413716,43.5359418482973
DECID,50,MISS,GREEN ASH,-79.6590264295375,43.5359423681271
CONFIR,31,MISS,AUSTRIAN PINE,-79.6296581742505,43.5359436260212
DECID,23,MISS,NORWAY MAPLE,-79.6259030563415,43.5359464561458
DECID,30,MISS,STUMP,-79.6297856451893,43.5359470775233
CONFIR,17,MISS,WHITE SPRUCE,-79.6472436427639,43.5359479689794
CONFIR,10,MISS,COLORADO BLUE SPRUCE,-79.6472324564407,43.5359500876324
CONFIR,26,MISS,AUSTRIAN PINE,-79.6297210563204,43.5359501382892
DECID,16,MISS,NORWAY SCHWENDLER MAPLE,-79.6485073686319,43.535950220599
MULTI,47,MISS,NORWAY MAPLE,-79.6282396689537,43.5359504781589
DECID,4,MISS,NORWAY MAPLE,-79.6739835827338,43.5359532389571
DECID,8,MISS,NORWAY MAPLE,-79.673981050369,43.5359533944229
CONFIR,7,MISS,WHITE SPRUCE,-79.6407254185509,43.5359533944229
DECID,37,MISS,SILVER MAPLE,-79.6365429382102,43.5359538309961
DECID,15,MISS,NORWAY MAPLE,-79.6796988037374,43.5359558211562
DECID,64,MISS,RED OAK,-79.6233626670325,43.535955869808
DECID,81,MISS,SUGAR MAPLE,-79.6540223851787,43.5359559518321
DECID,30,MISS,RED OAK,-79.6256665692072,43.5359560389139
DECID,16,MISS,FLOWERING CRAB APPLE,-79.6609243262492,43.5359561517231
DECID,39,MISS,MULBERRY,-79.6302690286437,43.5359566505565
DECID,22,PEEL,SILVER MAPLE,-79.6643952998885,43.5359583999934
DECID,30,MISS,WHITE BIRCH,-79.6356695179668,43.5359594374923
DECID,16,MISS,NORTHERN CATALPA,-79.6303768264778,43.5359599066899
DECID,27,MISS,NORWAY MAPLE,-79.6282547362577,43.535962814509
DECID,4,MISS,NORWAY MAPLE,-79.6739646797928,43.5359630142585
DECID,11,MISS,NORWAY MAPLE,-79.6739630840633,43.5359631628231
DECID,13,MISS,EASTERN WHITE CEDAR,-79.6302420791852,43.5359664189562
DECID,42,MISS,ENGLISH OAK,-79.6387471714298,43.5359666840002
DECID,4,MISS,NORWAY MAPLE,-79.6739763103077,43.5359688217623
CONFIR,80,MISS,WHITE PINE,-79.6234269726083,43.5359690698611
DECID,11,MISS,NORWAY MAPLE,-79.6739720672161,43.535969675089
DECID,37,MISS,NORWAY MAPLE,-79.6299276688357,43.535969675089
DECID,16,MISS,SUGAR MAPLE,-79.654002462763,43.5359724649079
DECID,22,MISS,NORWAY MAPLE,-79.6451720792073,43.5359729312217
DECID,25,MISS,NORWAY MAPLE,-79.6295952921806,43.5359729312217
CONFIR,25,MISS,COLORADO BLUE SPRUCE,-79.6481050620339,43.5359753572613
DECID,6,MISS,SKYLINE LOCUST,-79.67731859049,43.5359757576245
DECID,7,MISS,GLOBE MAPLE,-79.6638887058406,43.5359760708642
DECID,17,MISS,NORWAY MAPLE,-79.6451810623601,43.5359761873542
DECID,35,MISS,NORWAY MAPLE,-79.6251933084229,43.5359769103159
MULTI,11,MISS,WHITE BIRCH,-79.6210654521809,43.5359772547301
DECID,6,MISS,ACCOLADE ELM,-79.668093634733,43.5359774185752
DECID,5,MISS,RED OAK,-79.6436326363049,43.5359776851751
DECID,20,MISS,NORWAY MAPLE,-79.6668333112905,43.5359779443927
CONFIR,20,PEEL,SCOTCH PINE,-79.6644315323401,43.5359822340068
CONFIR,7,MISS,BALSAM FIR,-79.6298917362244,43.5359826996188
CONFIR,15,MISS,COLORADO BLUE SPRUCE,-79.6471416056077,43.5359835882833
CONFIR,11,MISS,NORWAY SPRUCE,-79.6210492151869,43.5359837219059
DECID,5,MISS,HONEY LOCUST,-79.6794111921068,43.5359888756378
DECID,22,MISS,LINDEN,-79.6471256409153,43.5359890719385
CONFIR,11,MISS,WHITE SPRUCE,-79.6406894859395,43.5359892118826
DECID,11,MISS,NORWAY MAPLE,-79.6612360956494,43.5359896069389
MULTI,25,MISS,EASTERN HEMLOCK,-79.6539823665373,43.5359912269616
CONFIR,3,MISS,WHITE SPRUCE,-79.644580089435,43.5359913609295
DECID,15,MISS,EASTERN HEMLOCK,-79.6540215901663,43.5359916887979
DECID,24,MISS,NORWAY MAPLE,-79.6296581742505,43.5359924680142
DECID,12,MISS,EASTERN WHITE CEDAR,-79.6282916611288,43.5359936914756
DECID,36,MISS,NORWAY MAPLE,-79.6296941068619,43.5359957241457
DECID,4,MISS,WHITE BIRCH,-79.6739177750196,43.5359967758485
CONFIR,22,MISS,AUSTRIAN PINE,-79.6471490928623,43.535997453181
DECID,20,MISS,COLUMNAR NORWAY MAPLE,-79.6346277753326,43.5359979629376
DECID,38,MISS,SUGAR MAPLE,-79.625612362355,43.5359995073281
DECID,21,MISS,NORWAY MAPLE,-79.6356396124618,43.5360013098407
CONFIR,60,MISS,WHITE SPRUCE,-79.6207138994609,43.5360014664991
CONFIR,19,MISS,COLORADO BLUE SPRUCE,-79.6300354666698,43.536002236408
DECID,4,MISS,WHITE BIRCH,-79.6739234662623,43.5360025144609
DECID,52,MISS,WHITE OAK,-79.6467187375276,43.5360038846309
DECID,31,MISS,EASTERN HEMLOCK,-79.6210831531735,43.5360043004859
CONFIR,26,MISS,AUSTRIAN PINE,-79.6593675030665,43.5360049853505
DECID,14,MISS,FLOWERING CRAB APPLE,-79.6305654726875,43.536005492539
MULTI,10,MISS,FLOWERING DOGWOOD,-79.6539492045744,43.5360075841367
CONFIR,16,PEEL,SCOTCH PINE,-79.6644725407871,43.5360083748345
DECID,5,MISS,NORWAY MAPLE,-79.6640576737777,43.5360084795302
DECID,18,MISS,NORWAY MAPLE,-79.6451630960544,43.5360087486698
DECID,8,MISS,SERVICEBERRY,-79.6448217362464,43.5360087486698
CONFIR,23,MISS,AUSTRIAN PINE,-79.647148835227,43.5360089753942
DECID,38,MISS,NORWAY MAPLE,-79.6258152191461,43.5360102298495
DECID,10,MISS,COMMON ZELKOVA,-79.6593412375856,43.536011790569
DECID,12,MISS,NORWAY SCHWENDLER MAPLE,-79.6799447341087,43.5360122357807
CONFIR,25,MISS,COLORADO BLUE SPRUCE,-79.6289330852125,43.5360125514946
DECID,31,MISS,SUGAR MAPLE,-79.6366657035655,43.5360147223001
DECID,15,MISS,NORWAY MAPLE,-79.6783261837229,43.5360148739961
CONFIR,15,MISS,NORWAY SPRUCE,-79.6470791440048,43.5360149937427
DECID,14,MISS,CHOKE CHERRY,-79.6739541009104,43.5360152609307
CONFIR,7,MISS,NORWAY SPRUCE,-79.6405277891883,43.5360152609307
CONFIR,7,MISS,NORWAY SPRUCE,-79.6405008397298,43.5360152609307
DECID,54,MISS,WHITE OAK,-79.646656836355,43.5360157575725
DECID,24,MISS,EASTERN HEMLOCK,-79.6538672061927,43.5360160729023
CONFIR,18,MISS,AUSTRIAN PINE,-79.6471059680163,43.5360164817368
DECID,7,MISS,CHOKE CHERRY,-79.6739575666498,43.5360165062397
CONFIR,23,MISS,AUSTRIAN PINE,-79.647128116321,43.5360167438551
DECID,31,MISS,NORWAY SCHWENDLER MAPLE,-79.6384812769529,43.5360181723806
DECID,20,MISS,NORWAY MAPLE,-79.6667842780444,43.5360182512306
DECID,15,MISS,COMMON YEW,-79.6541552587102,43.5360194645366
DECID,16,MISS,COMMON APPLE,-79.6739361346047,43.536021773191
DECID,20,MISS,BLACK CHERRY,-79.645127163443,43.536021773191
DECID,11,MISS,FLOWERING CRAB APPLE,-79.6306103884517,43.536021773191
DECID,8,MISS,COMMON APPLE,-79.6739387426018,43.5360226808053
DECID,5,MISS,RED OAK,-79.643573167833,43.5360230105204
DECID,55,MISS,WHITE OAK,-79.6466755863703,43.536024083247
DECID,6,MISS,SMOKE TREE,-79.630137335623,43.5360246385854
DECID,10,MISS,CHOKE CHERRY,-79.6739630840633,43.5360250293209
CONFIR,5,MISS,WHITE PINE,-79.6405098228827,43.5360250293209
DECID,6,MISS,NORWAY SCHWENDLER MAPLE,-79.6640298072103,43.5360261620944
DECID,4,MISS,CHOKE CHERRY,-79.6739662565726,43.5360266016099
DECID,7,MISS,ENGLISH OAK,-79.6638328821389,43.5360267418393
DECID,27,PEEL,SILVER MAPLE,-79.6645041886205,43.5360268428359
DECID,33,MISS,NORWAY MAPLE,-79.6250125658496,43.5360278606935
DECID,11,MISS,NORWAY MAPLE,-79.6211217191539,43.5360281763576
DECID,29,MISS,COMMON WILLOW,-79.6667760228011,43.5360294576573
CONFIR,4,MISS,WHITE SPRUCE,-79.6628231148995,43.5360304218787
DECID,10,MISS,BLACK CHERRY,-79.6450912308317,43.5360315415801
CONFIR,28,MISS,SERBIAN SPRUCE,-79.6355847880522,43.5360340607348
DECID,19,MISS,NORWAY MAPLE,-79.645127163443,43.5360347977095
CONFIR,29,MISS,WHITE PINE,-79.630197163421,43.5360347977095
DECID,37,MISS,RED OAK,-79.6255584325244,43.5360362259668
DECID,42,MISS,SILVER MAPLE,-79.6802047077736,43.5360376577624
DECID,6,MISS,CRIMSON KING MAPLE,-79.6591616329584,43.5360390958
DECID,25,MISS,NORWAY MAPLE,-79.6611830118188,43.5360394082921
DECID,26,MISS,NORWAY MAPLE,-79.630510136466,43.5360410494774
DECID,22,MISS,NORWAY MAPLE,-79.6451091971374,43.5360413099677
CONFIR,10,MISS,WHITE SPRUCE,-79.6406445701753,43.5360413099677
CONFIR,10,MISS,BALSAM FIR,-79.6299007193772,43.5360413099677
DECID,20,MISS,FLOWERING CRAB APPLE,-79.6306531482592,43.5360425472967
DECID,96,MISS,WHITE OAK,-79.6443456291458,43.5360445660965
DECID,29,MISS,EASTERN HEMLOCK,-79.6538665693071,43.53604469848
CONFIR,21,MISS,COLORADO BLUE SPRUCE,-79.6340599191427,43.5360477571026
DECID,20,MISS,NORWAY MAPLE,-79.6667534750875,43.5360489944314
CONFIR,15,PEEL,SCOTCH PINE,-79.6645431592104,43.5360499884731
MULTI,25,MISS,AUSTRIAN PINE,-79.6470403586715,43.5360502810316
DECID,6,MISS,ROYAL RED MAPLE,-79.6804285488958,43.5360514069271
DECID,24,MISS,MULBERRY,-79.6283765946152,43.5360524269261
MULTI,20,MISS,EASTERN WHITE CEDAR,-79.6287998745933,43.5360524626481
DECID,70,MISS,RED OAK,-79.6449834329976,43.5360543344819
DECID,22,MISS,NORWAY MAPLE,-79.6297929215431,43.5360543344819
DECID,11,MISS,NORWAY MAPLE,-79.6796333788614,43.5360557315406
DECID,15,MISS,NORWAY MAPLE,-79.6450822476788,43.53605759061
DECID,16,MISS,NORWAY MAPLE,-79.6451091971374,43.536060846738
MULTI,6,MISS,WHITE MULBERRY,-79.6355382619185,43.5360610579803
MULTI,5,MISS,COMMON LILAC,-79.647016469904,43.5360614335178
DECID,9,MISS,NORWAY MAPLE,-79.6637335545419,43.5360633980942
DECID,18,MISS,NORWAY MAPLE,-79.6450912308317,43.5360641028658
DECID,23,MISS,NORWAY MAPLE,-79.6450822476788,43.5360641028658
DECID,28,MISS,SILVER MAPLE,-79.6364206471339,43.5360641133301
CONFIR,33,MISS,SERBIAN SPRUCE,-79.6355490631347,43.5360650586701
DECID,28,MISS,NORWAY MAPLE,-79.6305579268391,43.5360651448266
CONFIR,6,MISS,WHITE SPRUCE,-79.6470432415978,43.5360652619763
DECID,6,MISS,ACCOLADE ELM,-79.6682253658624,43.5360653928209
DECID,73,MISS,WHITE OAK,-79.6465686676715,43.5360676579065
MULTI,4,MISS,EASTERN WHITE CEDAR,-79.6612276771228,43.5360680242205
DECID,70,MISS,SIBERIAN ELM,-79.6557751465421,43.536068057647
MULTI,32,MISS,MULBERRY,-79.6284068905479,43.5360699882787
MULTI,6,MISS,HAWTHORN SPP,-79.6747805509718,43.5360706151208
DECID,35,MISS,BLACK CHERRY,-79.6297929215431,43.5360706151208
DECID,21,MISS,NORWAY MAPLE,-79.6784706028943,43.536072279104
DECID,38,MISS,SUGAR MAPLE,-79.6255025249526,43.5360728307586
DECID,6,MISS,CHANTICLEER PEAR,-79.680660000941,43.5360737073629
CONFIR,15,MISS,COLORADO BLUE SPRUCE,-79.6340389883966,43.536073871248
CONFIR,54,MISS,NORWAY SPRUCE,-79.6298133133001,43.5360782344583
DECID,18,MISS,WHITE MULBERRY,-79.6403660924372,43.536080383502
CONFIR,13,PEEL,SCOTCH PINE,-79.6645797218049,43.5360812997111
DECID,29,MISS,NORWAY MAPLE,-79.6305239705213,43.5360825325456
MULTI,6,MISS,HAWTHORN SPP,-79.6747805509718,43.5360836396287
DECID,4,MISS,HAWTHORN SPP,-79.6747805509718,43.5360836396287
CONFIR,10,MISS,WHITE SPRUCE,-79.6405816881054,43.5360836396287
CONFIR,12,MISS,COLORADO BLUE SPRUCE,-79.6257717016421,43.5360898432634
DECID,20,MISS,NORWAY MAPLE,-79.6667063135351,43.5360898913915
MULTI,4,MISS,EASTERN WHITE CEDAR,-79.6611925175922,43.5360908430679
