UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
MULTI,9,MISS,RUSSIAN OLIVE,-79.6424833642132,43.5287647811191
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.6589371751507,43.5287674694771
DECID,6,MISS,GREENSPIRE LINDEN,-79.6679404204001,43.5287696356566
DECID,19,MISS,NORWAY MAPLE,-79.6644186985726,43.5287696939938
DECID,13,MISS,NORWAY MAPLE,-79.6652286083965,43.5287716799927
DECID,22,MISS,HONEY LOCUST,-79.6611672005882,43.5287719984969
DECID,9,PEEL,NORWAY MAPLE,-79.6540487598261,43.5287723269094
DECID,30,MISS,SILVER MAPLE,-79.6797531702634,43.5287731399211
DECID,42,MISS,LINDEN,-79.6341603419478,43.5287755816254
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6590002042424,43.5287768528203
DECID,6,MISS,SKYLINE LOCUST,-79.6480087411978,43.5287814595878
CONFIR,8,MISS,COLORADO GREEN SPRUCE,-79.6589011929016,43.5287828946182
MULTI,9,MISS,RUSSIAN OLIVE,-79.6424589448443,43.5287831296646
MULTI,10,MISS,RED MAPLE,-79.6271178414979,43.5287834234712
DECID,24,MISS,EASTERN WHITE CEDAR,-79.6683302771816,43.5287847125574
MULTI,40,MISS,COLORADO BLUE SPRUCE,-79.6335700884179,43.5287847352065
DECID,6,MISS,OHIO BUCKEYE,-79.665480741993,43.5287886933119
DECID,6,MISS,SKYLINE LOCUST,-79.6394668788378,43.5287920800931
DECID,6,MISS,ACCOLADE ELM,-79.6591779392336,43.5287923537582
CONFIR,60,MISS,AUSTRIAN PINE,-79.6814039486326,43.5287932732604
DECID,19,MISS,NORWAY MAPLE,-79.6747824296135,43.5287963019325
DECID,71,HYDRO,ASH SPP.,-79.6586155470971,43.5287971602646
DECID,6,MISS,COLUMNAR RED MAPLE,-79.6318517584609,43.5287974981617
DECID,7,MISS,FLOWERING CRAB APPLE,-79.6589739280639,43.5288010358008
MULTI,11,MISS,RUSSIAN OLIVE,-79.6424435589343,43.5288014954402
DECID,10,MISS,HONEY LOCUST,-79.6638551474199,43.5288027267057
DECID,6,MISS,SUGAR MAPLE,-79.6321165874675,43.5288084109064
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.6588788437852,43.5288085643066
DECID,36,MISS,NORWAY MAPLE,-79.6400738941268,43.5288101568969
